," Short Term Drought Blend (gridMET Drought) at Lands, 2006-12-01 to 2021-09-30"
"2011-10-27",0.6096
"2011-11-01",0.3526
"2011-11-06",0.1099
"2011-11-11",0.0084
"2011-11-16",-0.0246
"2011-11-21",0.206
"2011-11-26",0.1604
"2011-12-01",0.0648
"2011-12-06",-0.2715
"2011-12-11",-0.576
"2011-12-16",-0.664
"2011-12-21",-1.1939
"2011-12-26",-1.2445
"2011-12-31",-1.3241
"2012-01-05",-1.6188
"2012-01-10",-1.5179
"2012-01-15",-1.6037
"2012-01-20",-1.6726
"2012-01-25",-1.0579
"2012-01-30",-1.1338
"2012-02-04",-1.0869
"2012-02-09",-1.1039
"2012-02-14",-0.9161
"2012-02-19",-1.0094
"2012-02-24",-1.4002
"2012-02-29",-1.6604
"2012-03-05",-1.7336
"2012-03-10",-1.7257
"2012-03-15",-2.0076
"2012-03-20",-0.963
"2012-03-25",-0.66
"2012-03-30",-0.515
"2012-04-04",-0.2258
"2012-04-09",-0.1779
"2012-04-14",0.3964
"2012-04-19",-0.0862
"2012-04-24",-0.1954
"2012-04-29",-0.1199
"2012-05-04",-0.1613
"2012-05-09",-0.0645
"2012-05-14",-0.6189
"2012-05-19",-0.6835
"2012-05-24",-0.5256
"2012-05-29",-0.6356
"2012-06-03",-0.5547
"2012-06-08",-0.3175
"2012-06-13",-0.224
"2012-06-18",-0.1879
"2012-06-23",-0.0832
"2012-06-28",-0.0354
"2012-07-03",-0.0179
"2012-07-08",0.0714
"2012-07-13",-0.3455
"2012-07-18",-0.2812
"2012-07-23",-0.2177
"2012-07-28",-0.2962
"2012-08-02",-0.2208
"2012-08-07",-0.1669
"2012-08-12",-0.1582
"2012-08-17",-0.0626
"2012-08-22",-0.0313
"2012-08-27",-0.0228
"2012-09-01",-0.0295
"2012-09-06",-0.1324
"2012-09-11",-0.1479
"2012-09-16",-0.2274
"2012-09-21",-0.3513
"2012-09-26",-0.434
"2012-10-01",-0.49
"2012-10-06",-0.6536
"2012-10-11",-0.7068
"2012-10-16",-0.7312
"2012-10-21",-0.8518
"2012-10-26",-0.435
"2012-10-31",-0.56
"2012-11-05",-0.5671
"2012-11-10",-0.8249
"2012-11-15",-0.907
"2012-11-20",0.0346
"2012-11-25",-0.1509
"2012-11-30",0.7316
"2012-12-05",0.9941
"2012-12-10",0.8471
"2012-12-15",0.8989
"2012-12-20",0.4662
"2012-12-25",0.8875
"2012-12-30",0.4991
"2013-01-05",0.0292
