ID,Year,SurveyDate,TerritoryName,IsProtocolSurvey,ObservationID,Analysis Type,Sample Qualifier,BreedingStatus,StartTime,EndTime,CommonName,AdultCount,FledglingCount,NestlingCount,OtherCount,EggCountCode,IsTerritorialBehavior,Summary,NestCode,TerritoryNestID,varObject,VarFilter,Detection,JulianDay,Area_Type,BreedingYear,DaySinceDec15th
14117,2021,2021-03-17,Discovery Wall,TRUE,21695,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T15:00:00Z,1899-12-31T18:00:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Discovery Wall.,"NA",507,frmSurveyDetail,[ID] = 14117,0,76,Core,2021,93
14117,2021,2021-03-17,Pipsqueak Pinnacles,TRUE,21697,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T15:00:00Z,1899-12-31T18:00:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Pipsqueak Pinnacles.,"NA",573,frmSurveyDetail,[ID] = 14117,0,76,Core,2021,93
14117,2021,2021-03-17,Scout Peak,TRUE,21699,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T16:44:00Z,1899-12-31T16:46:00Z,Prairie Falcon,1,0,0,0,NA,Yes,"RTHA light ad soars N to SW over Pipsqueak Pinnacles, continuing towards Pinch or Lynch.","NA",471,frmSurveyDetail,[ID] = 14117,1,76,Core,2021,93
14117,2021,2021-03-17,Upper Bear Gulch,TRUE,21696,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T15:00:00Z,1899-12-31T18:00:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Upper Bear Gulch.,"NA",443,frmSurveyDetail,[ID] = 14117,0,76,Core,2021,93
14130,2021,2021-03-12,Ball Pinnacle,TRUE,21726,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:17:00Z,1899-12-31T15:20:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at Ball Pinnacle.,"NA",455,frmSurveyDetail,[ID] = 14130,0,71,Core,2021,88
14130,2021,2021-03-12,Deserted Valley,TRUE,21723,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:17:00Z,1899-12-31T15:20:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Deserted Valley.,"NA",537,frmSurveyDetail,[ID] = 14130,0,71,Core,2021,88
14130,2021,2021-03-12,Goat Rock,TRUE,21720,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T12:53:00Z,1899-12-31T15:20:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,Same as PRFA record for Resurrection Wall.,"NA",417,frmSurveyDetail,[ID] = 14130,1,71,Core,2021,88
14130,2021,2021-03-12,Resurrection Wall,TRUE,21719,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T12:53:00Z,1899-12-31T15:20:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA ad pr active at Resurrection Wall, perch at RW-1, near RW-8, fly and call near Goat Rock, briefly one PRFA banks in/out of cavity at Goat Rock.","NA",473,frmSurveyDetail,[ID] = 14130,1,71,Core,2021,88
14130,2021,2021-03-12,Scout Peak,TRUE,21724,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:17:00Z,1899-12-31T15:20:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Scout Peak.,"NA",471,frmSurveyDetail,[ID] = 14130,0,71,Core,2021,88
14130,2021,2021-03-12,Teapot Dome,TRUE,21725,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:17:00Z,1899-12-31T15:20:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Teapot Dome.,"NA",411,frmSurveyDetail,[ID] = 14130,0,71,Core,2021,88
