Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 9.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.

Part II - Data. NOTE: Monthly totals are labled as the first day of the month
ABBR,DATE_TIME,RNF_MM,
PINN-ES,1/1/2019 12:00:00 AM,104.2,
PINN-ES,2/1/2019 12:00:00 AM,166,
PINN-ES,3/1/2019 12:00:00 AM,41.2,
PINN-ES,4/1/2019 12:00:00 AM,7.5,
PINN-ES,5/1/2019 12:00:00 AM,21.3,
PINN-ES,6/1/2019 12:00:00 AM,0,
PINN-ES,7/1/2019 12:00:00 AM,0,
PINN-ES,8/1/2019 12:00:00 AM,0,
PINN-ES,9/1/2019 12:00:00 AM,0,
PINN-ES,10/1/2019 12:00:00 AM,0,
PINN-ES,11/1/2019 12:00:00 AM,50.9,
PINN-ES,12/1/2019 12:00:00 AM,147.2,
PINN-ES,1/1/2020 12:00:00 AM,28,
PINN-ES,2/1/2020 12:00:00 AM,0.3,
PINN-ES,3/1/2020 12:00:00 AM,73.8,
PINN-ES,4/1/2020 12:00:00 AM,38.3,
PINN-ES,5/1/2020 12:00:00 AM,8,
PINN-ES,6/1/2020 12:00:00 AM,0,
PINN-ES,7/1/2020 12:00:00 AM,0,
PINN-ES,8/1/2020 12:00:00 AM,0,
PINN-ES,9/1/2020 12:00:00 AM,0,
PINN-ES,10/1/2020 12:00:00 AM,0.3,
PINN-ES,11/1/2020 12:00:00 AM,13.4,
PINN-ES,12/1/2020 12:00:00 AM,10,
PINN-ES,1/1/2021 12:00:00 AM,171.2,
PINN-ES,2/1/2021 12:00:00 AM,1.3,
PINN-ES,3/1/2021 12:00:00 AM,0,
PINN-ES,4/1/2021 12:00:00 AM,1.3,
PINN-ES,5/1/2021 12:00:00 AM,0.9,
PINN-ES,6/1/2021 12:00:00 AM,0,
PINN-ES,7/1/2021 12:00:00 AM,0,
PINN-ES,8/1/2021 12:00:00 AM,0,
PINN-ES,9/1/2021 12:00:00 AM,0,
PINN-ES,10/1/2021 12:00:00 AM,32.7,
PINN-ES,11/1/2021 12:00:00 AM,2.6,
PINN-ES,12/1/2021 12:00:00 AM,135.6,
PINN-ES,1/1/2022 12:00:00 AM,3.3,
PINN-ES,2/1/2022 12:00:00 AM,6.9,
